,categ_location,location
898,Location stubs,Gay Neighborhood
899,Location stubs,General Chang's Taco Italiano
900,Location stubs,Goody New Shoes
901,Location stubs,Grand Canyon
902,Location stubs,Greektown
903,Location stubs,Grocery Store
904,Location stubs,Hall D
905,Location stubs,Hardware (Bumtown)
906,Location stubs,Hardware (Downtown)
907,Location stubs,Hellroads
908,Location stubs,Hollywood
909,Location stubs,Homer's Land of Innermost Thoughts and Utmost Desires
910,Location stubs,I.P.O. Friday's
911,Location stubs,Ice Bridge
912,Location stubs,Itchy & Scratchy International
913,Location stubs,Kidstown USA
914,Location stubs,Kirkwall
915,Location stubs,Kissimmee St. Nick Theme Park and Resort
916,Location stubs,Kozy Kabins
917,Location stubs,Krusty Fried Chicken
918,Location stubs,Lake Flaccid
919,Location stubs,Lenny Leonard's apartment
920,Location stubs,Lower East Side (bus stop)
921,Location stubs,Simpsons Wiki:Manual of Style (locations)
922,Location stubs,Marriage Counseling
923,Location stubs,Miami Beach
924,Location stubs,Mort's Deli
925,Location stubs,Mount Seldom
926,Location stubs,Mt. Embolism
927,Location stubs,Mt. Springfield
928,Location stubs,Murder House
929,Location stubs,Myundai Car Store
930,Location stubs,Nero's Palace
931,Location stubs,New Zealand
932,Location stubs,Odyssey Diner
933,Location stubs,Old Springfield Subway
934,Location stubs,"Old, abandoned summer-camp"
935,Location stubs,Peanut Street
936,Location stubs,Pie Cave
937,Location stubs,Plaster Mountain Theme Park
938,Location stubs,Quack In The Box
939,Location stubs,Rural Route 27
940,Location stubs,Santa's Village
941,Location stubs,Second-Best Western Hotel
942,Location stubs,Simpsons Ride
943,Location stubs,South Street Squidport
944,Location stubs,Spain
945,Location stubs,Spinster City Apartments
946,Location stubs,Spittle County
947,Location stubs,Springfield Amphitheater
948,Location stubs,Springfield Aqua-Cars
949,Location stubs,Springfield Bridge
950,Location stubs,Springfield Cemetery (Shorts)
951,Location stubs,Springfield Dry Cleaners
952,Location stubs,Springfield Fringe Festival
953,Location stubs,Springfield General Hospital
954,Location stubs,Springfield Harbor
955,Location stubs,Springfield Home For the Criminally Different
956,Location stubs,Springfield Laundromat
957,Location stubs,Springfield Lumber
958,Location stubs,Springfield Mountains
959,Location stubs,Springfield Mountains (Simpsons Road Rage)
960,Location stubs,Springfield Naval Reserve Base
961,Location stubs,Springfield Palace of Fine Arts
962,Location stubs,Springfield Park
963,Location stubs,Springfield Police Station
964,Location stubs,Springfield Squidport
965,Location stubs,Springfield State Prison
966,Location stubs,Springfield Streetcar System
967,Location stubs,Springfield Symphony Hall
968,Location stubs,Springwarts School of Magicry
969,Location stubs,Stu's Disco
970,Location stubs,Swartzwelder County
971,Location stubs,T.V. (Shop)
972,Location stubs,The Great Tire Fire
973,Location stubs,Trees $60 and Up
974,Location stubs,Trent Steele's Home
975,Location stubs,Waterville Prison
976,Location stubs,Waverly Hills
977,Location stubs,We Have Restrooms!
978,Location stubs,Wee Monsieur
979,Location stubs,Wellington
980,Location stubs,WikiLeaks
981,Location stubs,Yale University
982,Location stubs,Yorkshire
983,Medical and Health Facilities,99¢ Shrink
984,Medical and Health Facilities,Animal Hospital
985,Medical and Health Facilities,Animal Psychotherapy Center
986,Medical and Health Facilities,B. Hoffman Dentist
987,Medical and Health Facilities,Barber Hibbert's Surgery
988,Medical and Health Facilities,Barnacle Bill's Anger Management Center
989,Medical and Health Facilities,Calmwood Mental Hospital
990,Medical and Health Facilities,Center for Geriatric Medicine
991,Medical and Health Facilities,Child Psychiatrist
992,Medical and Health Facilities,City Morgue
993,Medical and Health Facilities,Cold Stone Screamery
994,Medical and Health Facilities,"Dr. Julius Hibbert, M.D. Family Practice"
995,Medical and Health Facilities,Dr. Monroe's Family Therapy Center
996,Medical and Health Facilities,Dr. Nick Riviera's Blood Bank
997,Medical and Health Facilities,Dr. Nick's Walk-In Clinic
998,Medical and Health Facilities,Dr. Zitsofsky's Dermatology Clinic
999,Medical and Health Facilities,Eye Caramba
1000,Medical and Health Facilities,Family Therapy Center
1001,Medical and Health Facilities,Hellman Avenue Medical Plaza
1002,Medical and Health Facilities,Hibbert Moneymaking Organization
1003,Medical and Health Facilities,Hollywood Upstairs Medical College
1004,Medical and Health Facilities,Insane in the Ukraine
1005,Medical and Health Facilities,Junkytown Legal Clinic
1006,Medical and Health Facilities,Memory Recovery Institute
1007,Medical and Health Facilities,Mental Institution
1008,Medical and Health Facilities,Montgomery Burns Institute For Soul Extraction
1009,Medical and Health Facilities,New Bedlam Rest Home for the Emotionally Interesting
1010,Medical and Health Facilities,New Beginnings
1011,Medical and Health Facilities,Optometrist
1012,Medical and Health Facilities,Page's Pharmacy
1013,Medical and Health Facilities,Painless Dentistry
1014,Medical and Health Facilities,Pharm-Er John’s Pharmaceuticals
1015,Medical and Health Facilities,Plastic Surgeon
1016,Medical and Health Facilities,Plastic Surgery Center
1017,Medical and Health Facilities,Psychiatry Row
1018,Medical and Health Facilities,Quack In The Box
1019,Medical and Health Facilities,Screaming Monkey Medical Research Center
1020,Medical and Health Facilities,Semi-Painless Dentistry
1021,Medical and Health Facilities,Shelbyville Fertility Clinic
1022,Medical and Health Facilities,Shelbyville Hospital
1023,Medical and Health Facilities,Sit 'n' Weep
1024,Medical and Health Facilities,Springfield Animal Hospital
1025,Medical and Health Facilities,Springfield Burn Ward
1026,Medical and Health Facilities,Springfield Children's Hospital
1027,Medical and Health Facilities,Springfield Cosmetic Surgery Clinic
1028,Medical and Health Facilities,Springfield Cryogenic Facility
1029,Medical and Health Facilities,Springfield General Hospital
1030,Medical and Health Facilities,Springfield Plasma Center
1031,Medical and Health Facilities,Springfield Psychiatric Center
1032,Medical and Health Facilities,Springfield Retirement Castle
1033,Medical and Health Facilities,Stagnant Springs Health Spa
1034,Medical and Health Facilities,Stomach Staples Center
1035,Medical and Health Facilities,University of Minnesota Spankalogical Protocol
1036,Medical and Health Facilities,Upward Bound
1037,Medical and Health Facilities,Well & Good
1038,Mountains,Challenge Peak
1039,Mountains,Mount Carlmore
1040,Mountains,Mt. Embolism
1041,Mountains,Mt. Springfield
1042,Mountains,Mt. Useful
1043,Mountains,The Murderhorn
1044,Mountains,Springfield Mountains
1045,Mountains,Widow's Peak
1046,Museums,Best of the Smithsonian
1047,Museums,Civil War Prison and Museum of Sideburns
1048,Museums,Cultural Centre
1049,Museums,Fort Sensible
1050,Museums,Graceland
1051,Museums,Mt. Swartzwelder Historic Cider Mill
1052,Museums,Museum of Sandpaper
1053,Museums,Museum of Stuffed Animals
1054,Museums,Museum of Suffering
1055,Museums,Museum of Swordfish
1056,Museums,Museum of Television and TV
1057,Museums,Museum of Tolerance
1058,Museums,Olde Springfield Towne
1059,Museums,Peabody Museum of Natural History
1060,Museums,Springfield Folk Art Museum
1061,Museums,Springfield Historical Society
1062,Museums,Springfield Knowledgeum
1063,Museums,Springfield Museum
1064,Museums,Springfield Museum of Flight
1065,Museums,Springfield Museum of Natural History
1066,Museums,Springfield Palace of Fine Arts
1067,Museums,Springfield Planetarium
1068,Museums,Springfield Stamp Museum
1069,Museums,Springfield Wax Museum
1070,Museums,Springsonian Museum
1071,Museums,The Edison Museum
1072,Natural Landmarks,Alkali Flats
1073,Natural Landmarks,Baby Seal Beach
1074,Natural Landmarks,Carl's Dad Caverns
1075,Natural Landmarks,Catfish Lake
1076,Natural Landmarks,Christmas Tree Farm
1077,Natural Landmarks,Echo Canyon (location)
1078,Natural Landmarks,Evergreen Terrace Cliff
1079,Natural Landmarks,Freestone Family Peach Orchard
1080,Natural Landmarks,Geezer Rock
1081,Natural Landmarks,Giant's Causeway
1082,Natural Landmarks,Grand Canyon
1083,Natural Landmarks,Grassy Hilled Area
1084,Natural Landmarks,Holding Hands Point
1085,Natural Landmarks,Imaginary Tree
1086,Natural Landmarks,Indian Burial Mound
1087,Natural Landmarks,Lake Springfield
1089,Natural Landmarks,Lower Springfield Lake
1090,Natural Landmarks,Mount Carlmore
1091,Natural Landmarks,Mount Seldom
1092,Natural Landmarks,Mt. Embolism
1093,Natural Landmarks,Mt. Springfield
1094,Natural Landmarks,Mt. Useful
1095,Natural Landmarks,Mulberry Island
1096,Natural Landmarks,The Murderhorn
1097,Natural Landmarks,New Grand Canyon
1098,Natural Landmarks,Nuclear Lake
1099,Natural Landmarks,Old Fishin' Hole
1100,Natural Landmarks,Restricted Grass
1101,Natural Landmarks,Rolling Rock
1102,Natural Landmarks,Sabertooth Meadow
1103,Natural Landmarks,Satan's Anvil
1104,Natural Landmarks,Shelbyville Bluffs
1105,Natural Landmarks,Springfield Dam
1106,Natural Landmarks,Springfield Forest
1107,Natural Landmarks,Springfield Glacier
1108,Natural Landmarks,Springfield Gorge
1109,Natural Landmarks,Springfield Lemon Tree
1110,Natural Landmarks,Springfield Monument Park
1111,Natural Landmarks,Springfield Mountains
1112,Natural Landmarks,Springfield National Forest
1113,Natural Landmarks,Springfield National Park
1114,Natural Landmarks,Springfield Nature Preserve
1115,Natural Landmarks,Springfield River
1116,Natural Landmarks,Springfield Tar Pits
1117,Natural Landmarks,Springfield Tide Pools
1118,Natural Landmarks,Springfield Tire Yard
1119,Natural Landmarks,Springfield Wetlands
1120,Natural Landmarks,Springfield's oldest redwood tree
1121,Natural Landmarks,Tenderfoot Gorge
1122,Natural Landmarks,Terror Lake
1123,Natural Landmarks,The Webs at Giant Spider Acres
1124,Natural Landmarks,Tongue-Kiss Point
1125,Natural Landmarks,Widow's Peak
1126,Natural Landmarks,X-Mas Trees Slightly Irregular
1128,Parks and recreational areas,Bike Track
1130,Parks and recreational areas,Dimoxinil Beach
1131,Parks and recreational areas,Diz-Nee Historical Park
1132,Parks and recreational areas,Fort Sensible
1133,Parks and recreational areas,Grassy Hilled Area
1134,Parks and recreational areas,Homerland (Theme Park)
1135,Parks and recreational areas,Inspiration Point
1136,Parks and recreational areas,Jebediah Springfield Park
1137,Parks and recreational areas,Klub Krusty
1138,Parks and recreational areas,Mt. Splashmore
1139,Parks and recreational areas,Old Fishin' Hole
1140,Parks and recreational areas,Potato Rock National Park
1141,Parks and recreational areas,Shelbyville Bluffs
1142,Parks and recreational areas,The Simpsons Ride
1143,Parks and recreational areas,Snowball II Municipal Cat Park
1144,Parks and recreational areas,Springfield Arboretum
1145,Parks and recreational areas,Springfield BMX Championship
1146,Parks and recreational areas,Springfield Botanical Gardens
1147,Parks and recreational areas,Springfield Dog Park
1148,Parks and recreational areas,Springfield Forest
1149,Parks and recreational areas,Springfield Monument Park
1150,Parks and recreational areas,Springfield National Forest
1151,Parks and recreational areas,Springfield National Park
1152,Parks and recreational areas,Springfield Nature Preserve
1153,Parks and recreational areas,Springfield Park
1154,Parks and recreational areas,Springfield Public Pool
1157,Parks and recreational areas,Universal Studios
1158,Parks and recreational areas,Veteran's Park
1159,Parks and recreational areas,Waterfront
1160,Prisons,Campbell's Chunky Soup Maximum Security Prison
1161,Prisons,Chateau d'If Prison
1162,Prisons,Civil War Prison and Museum of Sideburns
1164,Prisons,Montgomery Burns State Prison
1165,Prisons,Morningwood Penitentiary
1166,Prisons,Ronald Reagan Reeducation Center
1167,Prisons,Springfield City Jail
1168,Prisons,Springfield Elementary School and Prison
1169,Prisons,Springfield Juvenile Correctional Facility
1170,Prisons,Springfield Maximum Security Prison
1171,Prisons,Springfield Penitentiary
1172,Prisons,Springfield Police Department
1173,Prisons,Springfield State Prison
1174,Prisons,Springfield Women's Prison
1175,Prisons,Springwood Minimum Security Prison
1176,Prisons,Waterville Prison
1177,Public Facilities,Little Pwagmattasquarmsettport Public Library
1178,Public Facilities,Old Springfield Library
1179,Public Facilities,Professor Simpson's Universal Panacea for Disagreeable Juveniles
1180,Public Facilities,Springfield Public Library
1181,Public Facilities,Springfield Recreation Center
1182,Schools and other educational facilities,Adult Education Annex
1183,Schools and other educational facilities,Asteroid Elementary
1184,Schools and other educational facilities,Ayn Rand School for Tots
1185,Schools and other educational facilities,Burns University
1186,Schools and other educational facilities,Chazz Busby Ballet Academy
1187,Schools and other educational facilities,Cloisters Academy
1188,Schools and other educational facilities,Cypress Creek Elementary School
1189,Schools and other educational facilities,Day-Care Center
1190,Schools and other educational facilities,Enriched Learning Center for Gifted Children
1191,Schools and other educational facilities,Hellroads
1192,Schools and other educational facilities,Hollywood Upstairs Medical College
1193,Schools and other educational facilities,Karate
1194,Schools and other educational facilities,Krusty's Clown College
1195,Schools and other educational facilities,Krusty's Kids Daykare
1196,Schools and other educational facilities,Leavelle's Bodyguard Academy
1197,Schools and other educational facilities,Li'l Ludwig's Music School
1198,Schools and other educational facilities,List of Springfield Elementary Faculty Members
1199,Schools and other educational facilities,Mensa International
1200,Schools and other educational facilities,Miss Tillingham's School for Snotty Girls and Mama's Boys
1201,Schools and other educational facilities,MIT
1202,Schools and other educational facilities,Montessori School
1203,Schools and other educational facilities,Mrs. Wickerbottom's Pre-Nursery School
1204,Schools and other educational facilities,Ogdenville College
1205,Schools and other educational facilities,Onward Christian Schoolboys Academy
1206,Schools and other educational facilities,Oral Roberts University
1207,Schools and other educational facilities,Pitiless Pup Attack Dog School
1208,Schools and other educational facilities,Preschool
1209,Schools and other educational facilities,Rommelwood Military School
1210,Schools and other educational facilities,Saint Sebastian's School for Wicked Girls
1211,Schools and other educational facilities,Santa School
1212,Schools and other educational facilities,Shelbyville Elementary School
1213,Schools and other educational facilities,Springfield A&M
1214,Schools and other educational facilities,Springfield Arts Center
1215,Schools and other educational facilities,Springfield Barber College
1216,Schools and other educational facilities,Springfield Christian School
1217,Schools and other educational facilities,Springfield Community College
1218,Schools and other educational facilities,Springfield Creative Arts Academy
1219,Schools and other educational facilities,Springfield Elementary School
1221,Schools and other educational facilities,Springfield Elementary School and Prison
1222,Schools and other educational facilities,Springfield Extension School
1223,Schools and other educational facilities,Springfield Heights Institute of Technology
1224,Schools and other educational facilities,Springfield High School
1225,Schools and other educational facilities,Springfield Magnet School
1226,Schools and other educational facilities,Springfield Police Academy
1227,Schools and other educational facilities,Springfield Preparatory School
1228,Schools and other educational facilities,Springfield School for the Deaf
1229,Schools and other educational facilities,Springfield University
1230,Schools and other educational facilities,Springwarts School of Magicry
1231,Schools and other educational facilities,St. Jerome's Catholic School
1232,Schools and other educational facilities,Stonecutter's Daycare Center
1233,Schools and other educational facilities,Swigmore University
1234,Schools and other educational facilities,Teacher Holding Facility
1235,Schools and other educational facilities,Tuition Academy
1237,Schools and other educational facilities,University of Michigan
1238,Schools and other educational facilities,Waverly Hills Elementary School
1239,Schools and other educational facilities,West Springfield Elementary School
1240,Schools and other educational facilities,Yale University
1242,Springfield Elementary School,Anti-Gutenberg 3000
1243,Springfield Elementary School,Audrey McConnell's Students
1244,Springfield Elementary School,Beetle Mush
1245,Springfield Elementary School,Bus 23
1246,Springfield Elementary School,Counter Truancy Unit
1247,Springfield Elementary School,Daily Fourth Gradian
1248,Springfield Elementary School,Dewey Largo's music room
1249,Springfield Elementary School,Elizabeth Hoover's Students
1250,Springfield Elementary School,Fourth Grade
1251,Springfield Elementary School,Grade F Meat
1252,Springfield Elementary School,Groundskeeper Willie
1253,Springfield Elementary School,Elizabeth Hoover
1254,Springfield Elementary School,Junior Achievers Club
1255,Springfield Elementary School,Edna Krabappel
1256,Springfield Elementary School,List of Springfield Elementary Faculty Members
1257,Springfield Elementary School,Lumpy
1258,Springfield Elementary School,Maggot Stew
1259,Springfield Elementary School,Malk
1260,Springfield Elementary School,Medieval Faiyieyre
1261,Springfield Elementary School,Model U.N. Club
1262,Springfield Elementary School,Mr. Benzie's Students
1263,Springfield Elementary School,Mug O' Slugs
1264,Springfield Elementary School,School Apple Pick
1265,Springfield Elementary School,School Dance
1266,Springfield Elementary School,School Photographer
1267,Springfield Elementary School,Seymour Skinner
1268,Springfield Elementary School,Spider Cordon Bleu
1269,Springfield Elementary School,Springfield Elementary School
1270,Springfield Elementary School,Springfield Elementary School Band
1271,Springfield Elementary School,Springfield Elementary School Bus
1272,Springfield Elementary School,Springfield Elementary School Choir
1275,Springfield Elementary School,Springfield Elementary School/Gallery
1276,Springfield Elementary School,Springfield Lady Pumas
1277,Springfield Elementary School,Squeaky Farms Brand Genuine Animal Milk
1278,Springfield Elementary School,Student Choice Awards
1279,Springfield Elementary School,Superdude
1280,Springfield Elementary School,Taco Tuesday
1281,Springfield Elementary School,Teacher's Edition
1282,Springfield Elementary School,The Lofts at Springfield Elementary
1283,Springfield Elementary School,The Refuge of the Damned
1284,Springfield Elementary School,Unnamed Lunchlady
1285,Springfield Elementary School,Utility Basement B
1286,Springfield Elementary School,Willie's shack
1287,Springfield Elementary School,Windshield Casserole
1288,Springfield Mall,1987 Calendars!!!
1289,Springfield Mall,All Creatures Great and Cheap
1290,Springfield Mall,Around the World News
1291,Springfield Mall,Bikini Shop
1292,Springfield Mall,Books
1293,Springfield Mall,Captain Blip's Zapateria
1294,Springfield Mall,Cards (shop)
1295,Springfield Mall,Carmel Corn Warehouse
1296,Springfield Mall,The China Syndrome
1297,Springfield Mall,Click Clack
1298,Springfield Mall,Cockamamie's
1299,Springfield Mall,Coffee Shop (mall)
1300,Springfield Mall,Cookie Colossus
1301,Springfield Mall,Crazy E.T.'s Phone Home
1302,Springfield Mall,The Creamatorium
1303,Springfield Mall,Crouching Tiger Hidden Eggroll
1304,Springfield Mall,Da Buzz Club
1305,Springfield Mall,Dancing Reindeer
1306,Springfield Mall,Dingo Junction
1307,Springfield Mall,Donner's Party Supplies
1308,Springfield Mall,Downer's Party Supplies
1309,Springfield Mall,Dr. Zitsofsky's Dermatology Clinic
1310,Springfield Mall,The Drunk Paralegal Karaoke Supplier
1311,Springfield Mall,Dukakis Campaign H.Q.
1312,Springfield Mall,The Ear Piercery
1313,Springfield Mall,Electronics
1314,Springfield Mall,"Electronics, Etc."
1315,Springfield Mall,Eye Caramba
1316,Springfield Mall,Food Court
1317,Springfield Mall,Girdles N' Such
1318,Springfield Mall,Goody New Shoes
1319,Springfield Mall,Greek Town
1320,Springfield Mall,Gum for Less
1321,Springfield Mall,Hailstone's
1322,Springfield Mall,Hair Clinic
1323,Springfield Mall,The Happy Sailor Tattoo Parlor
1324,Springfield Mall,I Can't Believe It's A Law Firm!
1325,Springfield Mall,I.P.O. Friday's
1326,Springfield Mall,International House of Answering Machines
1327,Springfield Mall,Itchy & Scratchy's
1328,Springfield Mall,J.R.R. Toykin's
1329,Springfield Mall,The Jerky Hut
1330,Springfield Mall,Kidstown USA
1331,Springfield Mall,Le Pamperie Hair Salon
1332,Springfield Mall,Mall Cop
1333,Springfield Mall,Mapple Store
1334,Springfield Mall,"Miscellaneous, Etc."
1335,Springfield Mall,Moe's Express
1336,Springfield Mall,Nick's Bowling Shop
1337,Springfield Mall,Odd Ones
1338,Springfield Mall,Old Springfield Mall
1339,Springfield Mall,One Size Fits All Lingerie
1340,Springfield Mall,Origami Designs
1341,Springfield Mall,Phineas Q. Butterfat's 5600 Flavors Ice Cream Parlor
1342,Springfield Mall,Pizzeria Cheapo
1343,Springfield Mall,Plunderer Pete's
1344,Springfield Mall,Polybius
1345,Springfield Mall,The Popcorn Shack
1346,Springfield Mall,Popular Books
1347,Springfield Mall,Poverty Barn
1348,Springfield Mall,Princess Opal (Location)
1349,Springfield Mall,Ren's Meat
1350,Springfield Mall,Rock Bottom Remainders
1351,Springfield Mall,Ron's Meat
1352,Springfield Mall,Saks Fifth Grade
1353,Springfield Mall,Shoes For Tots
1354,Springfield Mall,Simply Shoes
1355,Springfield Mall,Sox
1356,Springfield Mall,Springfield Hunting Supplies
1357,Springfield Mall,Springfield Mall
1358,Springfield Mall,Springfield Martial Arts Academy
1359,Springfield Mall,Stuff-N-Hug
1360,Springfield Mall,Sweet Home Alabama
1361,Springfield Mall,Tatters
1362,Springfield Mall,"The Brushes are Coming, The Brushes are Coming"
1363,Springfield Mall,The Family Jewels
1364,Springfield Mall,The Leftorium
1365,Springfield Mall,The Picky Vegan
1366,Springfield Mall,The Sole Provider
1367,Springfield Mall,The Tam O'Shanter Connection
1368,Springfield Mall,Tommy Hillclimber
1369,Springfield Mall,Toys
1370,Springfield Mall,Triangle Wars
1371,Springfield Mall,The Vast Waistband
1372,Springfield Mall,Wage Gap
1373,Springfield Mall,Wee Madame
1374,Springfield Mall,Wee Monsieur
1375,Springfield Mall,Wicked Excess
1376,Springfield Mall,Yogurt Nook
1378,Stadiums,Buzz Cola Dome
1379,Stadiums,Capital City Stadium
1380,Stadiums,Duff Stadium
1381,Stadiums,Gee Your Hair Smells Terrific Arena
1382,Stadiums,Isotope Stadium
1383,Stadiums,Krusty's Kristmas On Ice
1384,Stadiums,Medieval Times
1385,Stadiums,Mr. Burns Basketball Stadium
1386,Stadiums,Naming Rights Available
1387,Stadiums,Shelbyville Downs
1388,Stadiums,Shelbyville Stadium
1389,Stadiums,Spellympic Village
1390,Stadiums,Springfield Amphitheater
1391,Stadiums,Springfield Atoms Stadium
1392,Stadiums,Springfield Coliseum
1393,Stadiums,Springfield Estadio de Toros (initially the Duff Beer Krusty Burger Buzz Cola Costington's Department Store Kwik-E-Mart Stupid Flanders Park)
1394,Stadiums,Springfield Soccer Stadium
1395,Stadiums,Springfield Speedway
1396,Stadiums,Springfield Sports Arena
1397,Stadiums,Springfield War Memorial Stadium
1398,Stadiums,Testoster-Zone
1399,Streets in Springfield,123 Fake Street
1400,Streets in Springfield,12th Avenue
1401,Streets in Springfield,156th Street
1402,Streets in Springfield,181st Street
1403,Streets in Springfield,257th Street
1404,Streets in Springfield,3rd Street
1405,Streets in Springfield,534 Center Street
1406,Streets in Springfield,652 8th Avenue
1407,Streets in Springfield,732 Evergreen Terrace
1408,Streets in Springfield,Another Government Highway Project That Will Never End
1409,Streets in Springfield,D Street
1411,Streets in Springfield,East Oak Street
1412,Streets in Springfield,Elm Street
1413,Streets in Springfield,Evergreen Terrace
1415,Streets in Springfield,Evergreen Terrace (Simpsons Road Rage)/Gallery
1416,Streets in Springfield,Fast-Food Boulevard
1417,Streets in Springfield,Industrial Road
1418,Streets in Springfield,Main Street
1419,Streets in Springfield,Matlock Expressway
1420,Streets in Springfield,Peanut Street
1421,Streets in Springfield,Rural Route 27
1422,Streets in Springfield,Sycamore Avenue
1423,Streets in Springfield,West Oak Street
1424,Towns and cities,Aspen
1425,Towns and cities,"Atlanta, Georgia"
1427,Towns and cities,Barcelona
1428,Towns and cities,Barnacle Bay
1429,Towns and cities,Beijing
1430,Towns and cities,Berlin
1431,Towns and cities,Bismarck
1432,Towns and cities,Boston
1433,Towns and cities,Branson
1434,Towns and cities,Brasília
1435,Towns and cities,Brighton
1436,Towns and cities,Brisbane
1437,Towns and cities,Brockway
1438,Towns and cities,Buenos Aires
1439,Towns and cities,Calgary
1440,Towns and cities,Canberra
1441,Towns and cities,Cape Canaveral
1443,Towns and cities,Capital City
1444,Towns and cities,Catfish Lake
1445,Towns and cities,Chicago
1446,Towns and cities,Chichen Itza
1447,Towns and cities,Christ the Redeemer
1448,Towns and cities,Copenhagen
1449,Towns and cities,Cranford
1450,Towns and cities,Cypress Creek
1451,Towns and cities,Detroit
1452,Towns and cities,Dunkilderry
1453,Towns and cities,Edinburgh
1455,Towns and cities,Frigid Falls
1456,Towns and cities,Garbage Island
1457,Towns and cities,Garlicville
1458,Towns and cities,Glasgow
1459,Towns and cities,Greenview
1460,Towns and cities,Guidopolis
1461,Towns and cities,The Hague
1462,Towns and cities,Hollywood
1463,Towns and cities,Hong Kong
1464,Towns and cities,Humbleton
1465,Towns and cities,Kabul
1466,Towns and cities,Kingdom of Springfieldia
1467,Towns and cities,Kirkwall
1468,Towns and cities,Knoxville
1469,Towns and cities,Kuala Lumpur
1470,Towns and cities,Kyiv
1471,Towns and cities,Lake Flaccid
1472,Towns and cities,Lake Placid
1473,Towns and cities,Las Vegas
1474,Towns and cities,List of towns and cities
1475,Towns and cities,Little Pwagmattasquarmsettport
1476,Towns and cities,Littleneck Falls
1477,Towns and cities,Liverpool
1478,Towns and cities,London
1479,Towns and cities,Los Angeles
1480,Towns and cities,Machu Picchu
1481,Towns and cities,Manchester
1482,Towns and cities,Manila
1483,Towns and cities,Marrakech
1484,Towns and cities,Medicine Hat
1486,Towns and cities,Miami Beach
1487,Towns and cities,Mount Seldom
1488,Towns and cities,New Springfield
1489,Towns and cities,New York City
1490,Towns and cities,Newcastle
1491,Towns and cities,North Haverbrook
1492,Towns and cities,North Kilttown
1493,Towns and cities,Ogdenville
1494,Towns and cities,Olde Springfield
1495,Towns and cities,Oslo
1496,Towns and cities,Palm Corners
1497,Towns and cities,Paris
1498,Towns and cities,"Portland, Oregon"
1499,Towns and cities,Proctorville
1500,Towns and cities,Reykjavík
1501,Towns and cities,Rio de Janeiro
1502,Towns and cities,Riverdale
1503,Towns and cities,Salsiccia
1504,Towns and cities,Screamville
1505,Towns and cities,Seoul
1507,Towns and cities,Shelbyville
1508,Towns and cities,Shelbyville Heights
1509,Towns and cities,Silicon Valley
1510,Towns and cities,Solvang
1511,Towns and cities,Spittle County
1513,Towns and cities,Springfield
1514,Towns and cities,"Springshire, UK"
1515,Towns and cities,Squatters Crog
1516,Towns and cities,St. Andrews
1517,Towns and cities,St. Louis
1518,Towns and cities,Stenchburg
1519,Towns and cities,Stockholm
1520,Towns and cities,Stratford-upon-Avon
1521,Towns and cities,Sydney
1523,Towns and cities,São Paulo
1524,Towns and cities,Terror Lake
1525,Towns and cities,The Outlands
1526,Towns and cities,Tokyo
1527,Towns and cities,Toronto
1528,Towns and cities,Vancouver
1529,Towns and cities,Washington D.C.
1530,Towns and cities,Waverly Hills
1531,Towns and cities,Waynesport
1532,Towns and cities,Wellington
1533,Towns and cities,Winnipeg
1534,Towns and cities,York
1535,American Locations,'Muff Said
1536,American Locations,1 Ocean View Drive
1537,American Locations,123 Fake Street
1538,American Locations,12th Avenue
1539,American Locations,13 Euclid Street
1540,American Locations,15201 Maple Systems Road
1541,American Locations,156th Street
1542,American Locations,181st Street
1543,American Locations,19 Fish Smell Drive
1544,American Locations,1987 Calendars!!!
1545,American Locations,257th Street
1546,American Locations,316 Pikeland Ave.
1547,American Locations,33 cents Store
1548,American Locations,35 Industry Way
1549,American Locations,3rd Street
1550,American Locations,3rd Street Station
1551,American Locations,534 Center Street
1552,American Locations,57 Walnut Street
1553,American Locations,652 8th Avenue
1554,American Locations,725 Evergreen Terrace
1555,American Locations,732 Evergreen Terrace
1556,American Locations,734 Evergreen Terrace
1557,American Locations,738 Evergreen Terrace
1558,American Locations,740 Evergreen Terrace (Brown House)
1559,American Locations,742 Evergreen Terrace
1560,American Locations,744 Evergreen Terrace
1561,American Locations,754 Evergreen Terrace
1562,American Locations,82 Evergreen Terrace
1563,American Locations,99¢ Furniture Store
1564,American Locations,99¢ Shrink
1565,American Locations,Abandoned aqueduct
1566,American Locations,Abandoned Store
1567,American Locations,Abbattoir & Costello LLC.
1568,American Locations,Abe's and Selma's House
1569,American Locations,Abercrombie & Fish
1570,American Locations,Abercrombie & Rich
1571,American Locations,Abercrombie & The Other Guy
1572,American Locations,Abercrombie and Rich
1573,American Locations,Aced Shoe
1574,American Locations,Adult Education Annex
1575,American Locations,Airport Refueling Way (bus stop)
1576,American Locations,Ajax Steel Mill
1577,American Locations,Al's Work
1578,American Locations,Alaska
1579,American Locations,Alberquerque Theater
1580,American Locations,Alberto's House
1581,American Locations,Alec and Kim's house
1582,American Locations,Alkali Flats
1583,American Locations,All Creatures Great and Cheap
1584,American Locations,All Night Gym
1585,American Locations,All Trees $75
1586,American Locations,All-Smelling Tower
1587,American Locations,Alley
1588,American Locations,Alley McBalls
1589,American Locations,Alternative Knifestyles
1590,American Locations,America's Apparel
1591,American Locations,America's Most Armed and Dangerous Office
1592,American Locations,American Princess
1593,American Locations,Amish Country
1594,American Locations,Amulet Hamlet
